name,pos,age,team,games,3PM,3PA,3%,PPG
Clemon Johnson,C,23,IND,79,0.0,0.0,,6.0
Dennis Johnson,SG,25,SEA,81,0.1,0.7,.207,19.0
Eddie Johnson,SG,24,ATL,79,0.1,0.2,.385,18.5
George Johnson,C,31,NJN,81,0.0,0.0,.000,7.2
George Johnson,PF,23,DEN,75,0.0,0.1,.222,10.2
John Johnson,SF,32,SEA,81,0.0,0.0,,11.3
Magic Johnson,SG,20,LAL,77,0.1,0.4,.226,18.0
Marques Johnson,SF,23,MIL,77,0.0,0.1,.222,21.7
Mickey Johnson,PF,27,IND,82,0.1,0.4,.156,19.1
Ollie Johnson,SF,30,CHI,79,0.0,0.1,.091,7.7
Vinnie Johnson,SG,23,SEA,38,0.0,0.0,.000,3.2
Bobby Jones,PF,28,PHI,81,0.0,0.0,.000,13.0
Caldwell Jones,C,29,PHI,80,0.0,0.0,.000,7.4
Dwight Jones,PF,27,HOU,21,0.0,0.0,,6.0
Dwight Jones,PF,27,CHI,53,0.0,0.0,,10.1
Major Jones,PF,26,HOU,82,0.0,0.0,.333,5.3
Eddie Jordan,PG,25,NJN,82,0.1,0.6,.250,13.3
Jeff Judkins,SF,23,BOS,65,0.2,0.4,.407,5.4
Rich Kelley,C,26,NJN,57,0.0,0.1,.000,10.0
Rich Kelley,C,26,PHO,23,0.0,0.0,,5.8
Greg Kelser,SF,22,DET,50,0.1,0.3,.200,14.2
Larry Kenon,PF,27,SAS,78,0.0,0.1,.111,20.1
Irv Kiffin,SF,28,SAS,26,0.0,0.0,,3.2
Carl Kilpatrick,C,23,UTA,2,0.0,0.0,,1.5
Bernard King,SF,23,UTA,19,0.0,0.0,,9.3
Reggie King,PF,22,KCK,82,0.0,0.0,.000,8.2
Billy Knight,SF,27,IND,75,0.1,0.2,.267,13.1
Toby Knight,SF,24,NYK,81,0.0,0.0,.000,19.1
Arvid Kramer,C,23,DEN,8,0.0,0.0,,2.0
Joel Kramer,C,24,PHO,54,0.0,0.0,.000,3.5
John Kuester,PG,24,IND,24,0.0,0.0,.000,1.2
Kevin Kunnert,C,28,POR,18,0.0,0.0,,7.0
Mitch Kupchak,PF,25,WSB,40,0.0,0.1,.000,4.7
Sam Lacey,C,31,KCK,81,0.0,0.0,.000,9.2
Tom LaGarde,C,24,SEA,82,0.0,0.0,,4.7
John Lambert,PF,27,CLE,74,0.0,0.0,.000,5.4
Mark Landsberger,C,24,CHI,54,0.0,0.0,,8.4
Mark Landsberger,C,24,LAL,23,0.0,0.0,,7.0
Bob Lanier,C,31,DET,37,0.0,0.1,.000,21.7
Bob Lanier,C,31,MIL,26,0.0,0.0,1.000,15.7
Allen Leavell,PG,22,HOU,77,0.0,0.2,.158,10.9
Butch Lee,PG,23,CLE,3,0.0,0.0,,1.3
Butch Lee,PG,23,LAL,11,0.0,0.0,,1.3
Ron Lee,PG,27,ATL,30,0.0,0.1,.000,2.2
Ron Lee,PG,27,DET,31,0.7,1.8,.393,7.3
John Long,SG,23,DET,69,0.0,0.2,.083,19.4
John Lucas,PG,26,GSW,80,0.2,0.5,.286,12.6
Maurice Lucas,PF,27,POR,41,0.0,0.1,.400,14.3
Maurice Lucas,PF,27,NJN,22,0.0,0.2,.000,15.2
Ollie Mack,SG,22,LAL,27,0.0,0.0,.000,1.9
Ollie Mack,SG,22,CHI,23,0.0,0.2,.000,8.0
Moses Malone,C,24,HOU,82,0.0,0.1,.000,25.8
Steve Malovic,PF,23,WSB,1,0.0,0.0,,1.0
Steve Malovic,PF,23,SDC,28,0.0,0.0,,1.9
Steve Malovic,PF,23,DET,10,0.0,0.0,,2.6
Pete Maravich,SG,32,UTA,17,0.4,0.6,.636,17.1
Pete Maravich,SG,32,BOS,26,0.1,0.2,.750,11.5
Cedric Maxwell,SF,24,BOS,80,0.0,0.0,,16.9
Scott May,SF,25,CHI,54,0.0,0.1,.000,12.4
Bob McAdoo,PF,28,DET,58,0.1,0.4,.125,21.1
Jim McElroy,PG,26,DET,36,0.1,0.4,.214,11.7
Jim McElroy,PG,26,ATL,31,0.1,0.2,.286,5.5
George McGinnis,PF,29,DEN,45,0.0,0.2,.143,15.6
George McGinnis,PF,29,IND,28,0.0,0.3,.125,13.2
Billy McKinney,PG,24,KCK,76,0.0,0.1,.100,6.8
Tom McMillen,C,27,ATL,53,0.0,0.0,.000,8.7
John Mengelt,SG,30,CHI,36,0.0,0.2,.000,6.1
Joe Meriweather,PF,26,NYK,65,0.0,0.0,.000,9.0
Dave Meyers,PF,26,MIL,79,0.0,0.1,.200,12.1
Mike Mitchell,SF,24,CLE,82,0.0,0.1,.000,22.2
Steve Mix,SF,32,PHI,81,0.0,0.1,.400,11.6
Paul Mokeski,C,23,HOU,12,0.0,0.0,,2.4
Sidney Moncrief,SG,22,MIL,77,0.0,0.0,.000,8.5
Eric Money,PG,24,PHI,6,0.0,0.0,,5.0
Eric Money,SG,24,DET,55,0.0,0.0,,10.9
Earl Monroe,SG,35,NYK,51,0.0,0.0,,7.4
Calvin Murphy,SG,31,HOU,76,0.0,0.3,.040,20.0
Swen Nater,C,30,SDC,81,0.0,0.0,.000,13.4
Calvin Natt,SF,23,NJN,53,0.0,0.1,.200,19.7
Calvin Natt,SF,23,POR,25,0.1,0.2,.500,20.4
Mike Newlin,SG,31,NJN,78,0.6,1.9,.296,20.9
Norm Nixon,PG,24,LAL,82,0.0,0.1,.125,17.6
Sylvester Norris,C,22,SAS,17,0.0,0.0,,2.4
Mark Olberding,SF,23,SAS,75,0.0,0.0,.000,10.6
John Olive,SF,24,SDC,1,0.0,0.0,,0.0
Tom Owens,C,30,POR,76,0.0,0.0,.500,16.4
Robert Parish,C,26,GSW,72,0.0,0.0,.000,17.0
Sonny Parker,SF,24,GSW,82,0.0,0.0,.000,14.7
Billy Paultz,C,31,SAS,47,0.0,0.0,.000,9.4
Billy Paultz,C,31,HOU,37,0.0,0.0,,8.6
Jim Paxson,SG,22,POR,72,0.0,0.3,.045,6.2
Wiley Peck,SF,22,SAS,52,0.0,0.0,.000,3.5
Sam Pellom,PF,28,ATL,44,0.0,0.0,,2.5
Roger Phegley,SG,23,WSB,50,0.0,0.1,.400,11.1
Roger Phegley,SG,23,NJN,28,0.1,0.1,.500,11.7
Stan Pietkiewicz,PG,23,SDC,50,0.2,0.7,.250,4.6
Ben Poquette,C,24,UTA,82,0.0,0.0,.000,8.9
Kevin Porter,PG,29,WSB,70,0.0,0.1,.000,7.3
